BioSample	Experiment	Run	Time	Organism	Tissue	Variety	Abbreviation	Subspecies	IRGC_Num
SAMN04251685	SRX1424277	SRR2931383	150 min	Oryza sativa	leaf	Pandan	wangi	Japonica	35834
SAMN04251686	SRX1424278	SRR2931384	165 min	Oryza sativa	leaf	Pandan	wangi	Japonica	35834
SAMN04251687	SRX1424279	SRR2931385	165 min	Oryza sativa	leaf	Pandan	wangi	Japonica	35834
SAMN04251688	SRX1424280	SRR2931386	180 min	Oryza sativa	leaf	Pandan	wangi	Japonica	35834
SAMN04251689	SRX1424281	SRR2931387	180 min	Oryza sativa	leaf	Pandan	wangi	Japonica	35834
SAMN04251690	SRX1424282	SRR2931388	210 min	Oryza sativa	leaf	Pandan	wangi	Japonica	35834
SAMN04251691	SRX1424283	SRR2931389	210 min	Oryza sativa	leaf	Pandan	wangi	Japonica	35834
SAMN04251692	SRX1424284	SRR2931390	240 min	Oryza sativa	leaf	Pandan	wangi	Japonica	35834
SAMN04251693	SRX1424285	SRR2931391	240 min	Oryza sativa	leaf	Pandan	wangi	Japonica	35834
SAMN04251694	SRX1424286	SRR2931392	270 min	Oryza sativa	leaf	Pandan	wangi	Japonica	35834
SAMN04251695	SRX1424287	SRR2931393	270 min	Oryza sativa	leaf	Pandan	wangi	Japonica	35834
SAMN04251696	SRX1424288	SRR2931394	300 min	Oryza sativa	leaf	Pandan	wangi	Japonica	35834
SAMN04251697	SRX1424289	SRR2931395	15 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251638	SRX1424290	SRR2931396	15 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251639	SRX1424291	SRR2931397	30 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251640	SRX1424292	SRR2931398	30 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251641	SRX1424293	SRR2931399	45 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251642	SRX1424294	SRR2931400	45 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251643	SRX1424295	SRR2931401	60 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251644	SRX1424296	SRR2931402	60 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251645	SRX1424297	SRR2931403	75 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251646	SRX1424298	SRR2931404	75 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251647	SRX1424299	SRR2931405	90 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251648	SRX1424300	SRR2931406	90 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251649	SRX1424301	SRR2931407	105 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251650	SRX1424302	SRR2931408	105 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251651	SRX1424303	SRR2931409	120 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251652	SRX1424304	SRR2931410	120 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251653	SRX1424305	SRR2931411	135 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251654	SRX1424306	SRR2931412	135 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251655	SRX1424307	SRR2931413	150 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251656	SRX1424308	SRR2931414	150 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251657	SRX1424309	SRR2931415	165 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251658	SRX1424310	SRR2931416	165 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251659	SRX1424311	SRR2931417	180 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251660	SRX1424312	SRR2931418	180 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251661	SRX1424313	SRR2931419	195 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251662	SRX1424314	SRR2931420	195 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251663	SRX1424315	SRR2931421	210 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251664	SRX1424316	SRR2931422	210 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251665	SRX1424317	SRR2931423	225 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251666	SRX1424318	SRR2931424	225 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251667	SRX1424319	SRR2931425	240 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251617	SRX1424320	SRR2931426	240 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251608	SRX1424321	SRR2931427	270 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251609	SRX1424322	SRR2931428	270 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251610	SRX1424323	SRR2931429	300 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251611	SRX1424324	SRR2931430	300 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251612	SRX1424325	SRR2931431	15 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251613	SRX1424326	SRR2931432	15 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251614	SRX1424327	SRR2931433	30 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251615	SRX1424328	SRR2931434	30 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251616	SRX1424329	SRR2931435	45 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251618	SRX1424330	SRR2931436	45 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251619	SRX1424331	SRR2931437	60 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251620	SRX1424332	SRR2931438	60 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251621	SRX1424333	SRR2931439	75 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251622	SRX1424334	SRR2931440	75 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251623	SRX1424335	SRR2931441	90 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251624	SRX1424336	SRR2931442	90 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251625	SRX1424337	SRR2931443	105 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251626	SRX1424338	SRR2931444	105 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251627	SRX1424339	SRR2931445	120 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251628	SRX1424340	SRR2931446	120 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251629	SRX1424341	SRR2931447	135 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251630	SRX1424342	SRR2931448	135 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251631	SRX1424343	SRR2931449	150 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251632	SRX1424344	SRR2931450	150 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251633	SRX1424345	SRR2931451	165 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251634	SRX1424346	SRR2931452	165 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251635	SRX1424347	SRR2931453	180 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251636	SRX1424348	SRR2931454	180 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251637	SRX1424349	SRR2931455	195 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251549	SRX1424350	SRR2931456	195 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251550	SRX1424351	SRR2931457	210 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251551	SRX1424352	SRR2931458	210 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251552	SRX1424353	SRR2931459	225 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251553	SRX1424354	SRR2931460	225 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251554	SRX1424355	SRR2931461	240 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251555	SRX1424356	SRR2931462	240 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251556	SRX1424357	SRR2931463	135 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251557	SRX1424358	SRR2931464	135 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251558	SRX1424359	SRR2931465	150 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251559	SRX1424360	SRR2931466	150 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251560	SRX1424361	SRR2931467	165 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251561	SRX1424362	SRR2931468	165 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251562	SRX1424363	SRR2931469	180 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251563	SRX1424364	SRR2931470	180 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251564	SRX1424365	SRR2931471	195 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251565	SRX1424366	SRR2931472	195 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251566	SRX1424367	SRR2931473	210 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251567	SRX1424368	SRR2931474	210 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251568	SRX1424369	SRR2931475	225 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251569	SRX1424370	SRR2931476	225 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251570	SRX1424371	SRR2931477	240 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251571	SRX1424372	SRR2931478	240 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251572	SRX1424373	SRR2931479	15 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251573	SRX1424374	SRR2931480	15 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251574	SRX1424375	SRR2931481	30 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251575	SRX1424376	SRR2931482	30 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251576	SRX1424377	SRR2931483	45 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251577	SRX1424378	SRR2931484	45 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251578	SRX1424379	SRR2931485	60 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251579	SRX1424380	SRR2931486	60 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251580	SRX1424381	SRR2931487	75 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251581	SRX1424382	SRR2931488	75 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251582	SRX1424383	SRR2931489	90 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251583	SRX1424384	SRR2931490	90 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251584	SRX1424385	SRR2931491	105 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251585	SRX1424386	SRR2931492	105 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251586	SRX1424387	SRR2931493	120 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251587	SRX1424388	SRR2931494	120 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251588	SRX1424389	SRR2931495	135 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251589	SRX1424390	SRR2931496	135 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251590	SRX1424391	SRR2931497	105 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251591	SRX1424392	SRR2931498	105 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251592	SRX1424393	SRR2931499	120 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251593	SRX1424394	SRR2931500	120 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251594	SRX1424395	SRR2931501	150 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251595	SRX1424396	SRR2931502	150 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251596	SRX1424397	SRR2931503	165 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251597	SRX1424398	SRR2931504	165 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251598	SRX1424399	SRR2931505	180 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251599	SRX1424400	SRR2931506	180 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251600	SRX1424401	SRR2931507	210 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251601	SRX1424402	SRR2931508	210 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251602	SRX1424403	SRR2931509	240 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251603	SRX1424404	SRR2931510	240 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251604	SRX1424405	SRR2931511	270 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251605	SRX1424406	SRR2931512	270 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251606	SRX1424407	SRR2931513	300 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
SAMN04251607	SRX1424408	SRR2931514	300 min	Oryza sativa	leaf	Tadukan	TD	Indica	9804
